Texture,Contrast,Energy,Homogeneity,Correlation,Dissimilarity,ASM
desk,33.38403,0.0349,0.22355,0.90694,4.28452,0.00122
desk,47.12468,0.02894,0.18753,0.90798,5.15209,0.00084
desk,31.30566,0.03656,0.23721,0.91027,4.09579,0.00134
desk,35.1643,0.0357,0.21844,0.89563,4.37578,0.00127
desk,38.83086,0.03435,0.20812,0.89559,4.65491,0.00118
desk,32.15401,0.0357,0.22228,0.90272,4.24738,0.00127
desk,26.80024,0.03813,0.23872,0.91349,3.88834,0.00145
desk,31.52012,0.03594,0.22603,0.90548,4.18699,0.00129
desk,38.91221,0.03346,0.20532,0.89099,4.67884,0.00112
desk,35.25674,0.03609,0.22237,0.89176,4.38266,0.0013
floor,6.4893,0.08269,0.43059,0.91016,1.81871,0.00684
floor,5.8215,0.08443,0.42808,0.90637,1.77004,0.00713
floor,10.20082,0.07498,0.38699,0.87744,2.21148,0.00562
floor,7.21551,0.08518,0.43317,0.91085,1.85362,0.00726
floor,5.96144,0.09444,0.45794,0.89206,1.70215,0.00892
floor,6.24391,0.08709,0.43253,0.89027,1.79664,0.00758
floor,4.94073,0.09364,0.4562,0.90359,1.62,0.00877
floor,5.86968,0.09014,0.43321,0.89559,1.75882,0.00812
floor,5.40083,0.09478,0.4609,0.89709,1.64722,0.00898
floor,5.07198,0.0965,0.46357,0.89029,1.60816,0.00931
wall,18.86478,0.06192,0.29183,0.81352,3.14117,0.00383
wall,9.7316,0.07533,0.35411,0.86495,2.3082,0.00567
wall,10.496,0.07118,0.3404,0.867,2.43016,0.00507
wall,7.96888,0.08412,0.37662,0.85593,2.10528,0.00708
wall,8.54988,0.07875,0.36146,0.86324,2.20937,0.0062
wall,19.21973,0.05906,0.27391,0.81222,3.28979,0.00349
wall,12.43667,0.07552,0.35803,0.85585,2.47151,0.0057
wall,12.18792,0.06774,0.33268,0.87708,2.56116,0.00459
wall,11.98568,0.06758,0.33005,0.87312,2.581,0.00457
wall,11.85498,0.0705,0.33357,0.85242,2.54108,0.00497
